iter	RMSE
0	0.3849697657
1	0.3579290688
2	0.3345895409
3	0.3140787768
4	0.2964461036
5	0.2814390848
6	0.2685455933
7	0.257781307
8	0.2484962811
9	0.2407761353
10	0.2345428606
11	0.2291101585
12	0.21971833
13	0.2117580774
14	0.2050752823
15	0.1994851374
16	0.1948342351
17	0.1909692936
18	0.1878473434
19	0.1852785229
20	0.1830844513
21	0.1810456189
22	0.1795328495
23	0.1783522109
24	0.1771405749
25	0.1760820308
26	0.1753640583
27	0.1746161117
28	0.1740202469
29	0.173473729
30	0.1729965049
31	0.1725748039
32	0.1722264368
33	0.171911507
34	0.1713188133
35	0.1708179924
36	0.1704084146
37	0.1701177685
38	0.1698792281
39	0.1697005418
40	0.169477114
41	0.1692999903
42	0.1691552209
43	0.1690524585
44	0.168819636
45	0.1687351252
46	0.1686665878
47	0.1685303795
48	0.1684204836
49	0.1683496949
