iter	Passed	Remaining
0	6	332
1	15	375
2	19	307
3	22	260
4	29	263
5	33	242
6	37	228
7	40	210
8	42	194
9	46	185
10	49	176
11	52	167
12	57	164
13	60	156
14	63	149
15	82	175
16	95	185
17	103	184
18	107	175
19	110	166
20	113	156
21	117	148
22	121	143
23	125	136
24	129	129
25	134	123
26	138	117
27	141	111
28	144	104
29	148	99
30	152	93
31	154	86
32	157	81
33	160	75
34	164	70
35	167	65
36	171	60
37	175	55
38	178	50
39	181	45
40	183	40
41	186	35
42	189	30
43	193	26
44	195	21
45	199	17
46	203	13
47	206	8
48	208	4
49	211	0
